columns wrong,romance language?,total questions,51,total responses,249,Are you Hispanic or are you fluent in Spanish? ,"What are your fluency levels in other languages? Example response: English (fluent), Spanish (fluent), French (basic reading + writing)"
1,TRUE,,,,,Yes,
1,TRUE,,,,,Yes,
2,TRUE,,,,,Wouldn’t you like to know :D,
0,FALSE,,,,,No,"English (fluent), Chinese (fluent), Korean (basic reading + writing)"
1,FALSE,,,,,No,"english (fluent), chinese (fluent), german (very basic)"
4,FALSE,,,,,No,julia (fluent)
3,FALSE,,,,,No,none
1,FALSE,,,,,No,
1,TRUE,,,,,No,"English (fluent), Spanish (very basic reading/writing)"
1,TRUE,,,,,Yes,"English, Spanish, Mandarin, Cantonese, Japanese (fluent)"
2,FALSE,,,,,No,"English (fluent), Korean (fluent), Japanese (intermediate)"
0,TRUE,,,,,No,"english (fluent), chinese (fluent), spanish(proficient)"
5,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Russian (intermediate)"
0,TRUE,,,,,No,"French (proficient), German (basic)"
4,TRUE,,,,,"Not fluent, grew up around Spanish speakers",English (fluent)
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers","English (fluent), Spanish (basic comprehension) - I took 4 years of Spanish and got a 5 on the AP Spanish Language Exam, but we know that doesn't equate to fluency lmao"
0,TRUE,,,,,No,"polish (fluent), spanish (basic reading + writing)"
2,FALSE,,,,,No,English (fluent) + Mandarin (fluent)
7,FALSE,,,,,No,English (fluent)
0,TRUE,,,,,No,"English (fluent), Vietnamese (basic speaking), French (basic speaking, reading, writing)"
0,TRUE,,,,,Yes,English (fluent); Spanish (fluent)
1,TRUE,,,,,No,"English (fluent), Mandarin (fluent), Spanish (proficient)"
1,FALSE,,,,,No,English (fluent)
5,FALSE,,,,,No,English (Fluent) Chinese (able to speak and listen)
0,TRUE,,,,,No,"English (fluent), Portuguese (good listening and reading, some speaking), French (very basic)"
4,FALSE,,,,,No,"English (Fluent), Pashto (Fluent), Russian (Intermediate), Arabic (intermediate reading)"
0,FALSE,,,,,No,Mandarin Chinese
6,TRUE,,,,,No,"French, fluent"
1,FALSE,,,,,No,"English (reading + basic writing), Indonesia (fluent)"
1,TRUE,,,,,conversational in Spanish,"English (fluent), Spanish (conversational), Mandarin Chinese (conversational)"
2,TRUE,,,,,No,"English (fluent), French (basic reading)"
0,TRUE,,,,,No,"English (fluent), French (basic reading + writing)"
2,TRUE,,,,,No,"English native, French b1"
3,TRUE,,,,,No,"English (fluent), French (basic reading + writing + speaking)"
0,FALSE,,,,,No,"English(fluent), Arabic(fluent), Kurdish(fluent), Turkish(Proficient)"
2,TRUE,,,,,not hispanic but fluent in spanish,"English (native), Spanish (fluent), French (fluent), Swedish (half fluent)"
4,TRUE,,,,,No,"English (fluent), Gujarati (fluent), Marathi (fluent), Hindi (basic), Spanish (basic)"
0,TRUE,,,,,No,"English (fluent), Russian (heritage), Japanese (intermediate), French (beginner), Latin (beginner)"
0,TRUE,,,,,No,Spanish (hardly) Jamaican Patois (Native) English (Native) Japanese (Basic)
1,TRUE,,,,,No,"English (fluent)
Bengali (fluent)
Hindi (fluent)
French (basic reading + writing)"
1,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Russian (basic reading, writing, conversational)"
3,TRUE,,,,,No,"english (fluent), spanish (intermediate reading + writing, basic speaking)"
3,FALSE,,,,,No,English (fluent)
2,FALSE,,,,,No,english fluent
0,TRUE,,,,,Studied Spanish in high school,"English (fluent, native), Mandarin Chinese (intermediate)"
4,TRUE,,,,,taken it for 10y,"English fluent, French fluent, Spanish proficient"
0,TRUE,,,,,No,"english, chinese (speaking), french (fluent)"
0,TRUE,,,,,No,"English (fluent), Spanish (conversational)"
2,TRUE,,,,,No,"English (native), Spanish Russian French and Mandarin (basic reading + writing)"
4,FALSE,,,,,No,"English (fluent), Mandarin (native)"
1,FALSE,,,,,No,"English (fluent), Mandarin (fluent)"
0,FALSE,,,,,No,Mandarin Chinese (conversationally fluent)
1,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Chinese (basic reading, writing, speaking)"
5,FALSE,,,,,No,"English (fluent), Chinese (basic reading + writing)"
0,TRUE,,,,,No,"English (fluent), Spanish (intermediate, took in high school), Chinese (advanced, grew up speaking/took at MIT), Japanese (intermediate, taking at MIT)"
2,TRUE,,,,,No,"English (fluent), Mandarin Chinese (basic speaking + very little reading), Spanish (took in high school but not fluent at all)"
2,FALSE,,,,,No,Mandarin (intermediate)
1,TRUE,,,,,Took many years of spanish in middle+high school,
0,FALSE,,,,,No,"English (fluent), Mandarin (basic reading+writing)"
0,TRUE,,,,,No,"english fluent, hindi fluent, spanish intermediate"
2,TRUE,,,,,No,English (fluent); Spanish (working proficiency); Cantonese (fluent); Mandarin (working proficiency)
0,FALSE,,,,,No,Farsi (conversational with some reading + writing)
2,TRUE,,,,,Yes,"English (fluent), Spanish (fluent)"
5,TRUE,,,,,Yes,
10,TRUE,,,,,No,"English (native, fluent), French (very basic reading), Spanish (basic reading)"
1,TRUE,,,,,No,"English (fluent), French (working-proficiency)"
1,TRUE,,,,,Yes,"English (fluent), Spanish (intermediate)"
1,FALSE,,,,,No,"English fluent, german (can hold a conversation, writing is better than speaking.)"
0,TRUE,,,,,No,"thai (native speaking, barely read/write) mandarin (alright), french (some read/write)"
0,FALSE,,,,,No,"English (Fluent), Burmese (Fluent), Mandarin (Intermediate)"
